Core	Longitude	Latitude	Depth	RecentDate	OldestDate	Proxy	Species	Reference
GIK16771-2	-15.5	0.8	2764	1.47	162.05	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK16772-2	-11.96	-1.35	3912	17.1	334	Planktonic foraminifera	Globigerinoides sacculifer	Gif
GIK16772-2	-11.96	-1.35	3912	17.1	334	Benthic foraminifera	Cibicides wuellerstorfi	Gif
GIK16772-2	-11.96	-1.35	3912	0.22	9.8	Planktonic foraminifera	Globigerinoides ruber white	Gif
GIK16772-2	-11.96	-1.35	3913	0.58	331.6	Benthic foraminifera	Cibicidoides wuellerstorfi	Martin et al., 2002
GIK16773-1	-9.44	-0.97	4662	7.13	446.99	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK16773-1	-9.44	-0.97	4662	7.13	446.99	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK16856-2	3.4	4.81	2861	6.07	74.12	Benthic foraminifera	Cibicides cf wuellerstorfi	Sarnthein et al., 1994
GIK16856-2	3.4	4.81	2861	6.07	74.12	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK16856-2	3.4	4.81	2861	6.07	74.12	Benthic foraminifera	Cibicides kullenbergi	Sarnthein et al., 1994
GIK16867-1	5.1	-2.2	3891	0.33	162.22	Planktonic foraminifera	Globigerinoides ruber white	Sarnthein et al., 1994
GIK17048-3	-18.18	54.31	1859	0.43	29.5	Planktonic foraminifera	Neogloboquadrina pachyderma dextral	Sarnthein et al., 1994
GIK17048-3	-18.18	54.31	1859	0.43	29.5	Planktonic foraminifera	Neogloboquadrina pachyderma senestral	Sarnthein et al., 1994
GIK17048-3	-18.18	54.31	1859	0.43	29.5	Planktonic foraminifera	Globigerina bulloides	Sarnthein et al., 1994
GIK17048-3	-18.18	54.31	1859	0.43	29.5	Planktonic foraminifera	Globorotalia inflata	Sarnthein et al., 1994
GIK17048-3	-18.18	54.31	1859	0.43	29.5	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK17940-2	117.38	20.12	1727	0.01	41.13	Planktonic foraminifera	Globigerinoides ruber	Wang, luejiang; sarnthein, michael; grootes, pieter meiert; erlenkeuser, helmut (1999): millennial reocurrence of century-scale abrupt events of east asian monsoon: a possible heat conveyor for the global deglaciation. paleoceanography, 14(6), 725-731, doi:10.1029/1999pa900028
GIK23258	13.97	75	1768	0	1.94	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 2003
GIK23258	13.97	75	1768	0	1.94	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Sarnthein et al., 2003
GIK23415-9	-19.15	53.18	2472	8.74	80.85	Planktonic foraminifera	Neogloboquadrina pachyderma left	Weinelt et al., 2003
GIK23519-4	-29.6	64.8	1903	0	5.6	Benthic foraminifera	Adjusted : cibicidoides wuellerstorfi + 0.64 per mil	Millo et al., 2006
GIK23519-4	-29.6	64.8	1903	0	5.6	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Millo et al., 2006
GIK23519-4	-29.6	64.8	1903	0	5.6	Benthic foraminifera	Cibicidoides wuellerstorfi	Millo et al., 2006
GIK23519-5	-29.6	64.8	1893	5.81	32.82	Benthic foraminifera	Adjusted : cibicidoides wuellerstorfi + 0.64 per mil	Millo et al., 2006
GIK23519-5	-29.6	64.8	1893	5.81	32.82	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Millo et al., 2006
GIK23519-5	-29.6	64.8	1893	5.81	32.82	Benthic foraminifera	Cibicidoides wuellerstorfi	Millo et al., 2006
GUA1 slabA	61.49	16.2	1.7	-0.05	-0.03	Coral	Diploria strigosa	Hetzinger, 2007
GUA1 SlabB	61.49	16.2	1.7	-0.03	0.05	Coral	Diploria strigosa	Hetzinger, 2007
H95-64	147.6	-6.08	4	-0.05	-0.03	Coral	Porites	Tudhope et al., 2001
HEALY 02-02 51JPC	168.67	54.55	1466	0.96	21.36	Planktonic foraminifera	Neogloboquadrina pachyderma	Caissie et al., 2010
HEALY 02-02 51JPC	168.67	54.55	1466	0.96	21.36	Benthic foraminifera	Uvigerina peregrina	Caissie et al., 2010
HLY0205-GGC19	-155.51	72.16	369	0.05	6.66	Benthic foraminifera	Islandiella helenae	Farmer et al., 2011
HLY0205-GGC19	-155.51	72.16	369	0.28	6.66	Benthic foraminifera	Nonion labradoricum	Farmer et al., 2011
HLY03-05GC	63.26	81.62	797	-0.01	10.28	Planktonic foraminifera	Neogloboquadrina pachyderma	Jennings et al., 2011
HLY03-05GC	63.26	81.62	797	-0.01	10.28	Planktonic foraminifera	Cassidulina neoteretis	Jennings et al., 2011
HM115-16	37.33	60.87	345	-0.05	1.94	Benthic foraminifera	Uvigerina mediterranea	Eirksson 2006
HM52-43	0.73	64.25	2781	0.54	14.7	Benthic foraminifera	Benthics	Fronval and jansen, 1997
HM52-43	0.73	64.25	2781	0.54	14.7	Planktonic foraminifera	Planktonics	Fronval and jansen, 1997
HM57-7	-13.87	68.43	1620	1.09	135.1	Benthic foraminifera	Benthics	Fronval and jansen, 1997
HM57-7	-13.87	68.43	1620	1.09	135.1	Planktonic foraminifera	Planktonics	Fronval and jansen, 1997
HM71-19	-9.51	69.48	2210	100	135.1	Benthic foraminifera	Benthics	Fronval and jansen, 1997
HM71-19	-9.51	69.48	2210	0	135.1	Planktonic foraminifera	Planktonics	Fronval and jansen, 1997
HM94-34	-2.53	73.77	3004	103.29	135.1	Benthic foraminifera	Benthics	Fronval and jansen, 1997
HM94-34	-2.53	73.77	3004	2.78	135.1	Planktonic foraminifera	Planktonics	Fronval and jansen, 1997
HU72-021-3	-59.92	42.97	2470	0	16.45	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Keigwin and jones, 1995
HU73-011-1	-60.41	43.21	1814	1.65	15.4	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Keigwin and jones, 1995
HU73-031-7	-55.25	42.98	4055	0.77	20.41	Planktonic foraminifera	Globigerinoides ruber	Keigwin and jones, 1995
HU73-031-7	-55.25	42.98	4055	0.77	20.41	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Keigwin and jones, 1995
HU89038 BC-004D	-57.6	33.68	4583	0	3.13	Benthic foraminifera	Nutallides umbonifera	Keigwin and boyle, 2000
HU90031-044	-55.62	44.66	1381	0	14.52	Planktonic foraminifera	Neogloboquadrina pachyderma	Carlson et al., 2007
HU91 045 093 HR	-45.69	50.2	3448	0.02	10.12	Unknown	Unknown	Hoogakker et al., 2011
HUD91/039-012P	-71.86	76.81	823	3.14	10.86	Benthic foraminifera	Islandiella norcrossi	Knudsen et al., 2008
HUD91/039-012P	-71.86	76.81	823	9.9	12.23	Benthic foraminifera	Cassidulina neoteretis	Knudsen et al., 2008
HUD91/039-012P	-71.86	76.81	823	8.19	12.16	Planktonic foraminifera	Neogloboquadrina pachyderma	Knudsen et al., 2008
IFATY LAGOON	43.58	-23.14	1.1	-0.05	0.29	Coral	Porites lobata	Zinke et al., 2004
JM97-9482A	7.64	66.97	1048	-0.05	-0.02	Planktonic foraminifera	Neogloboquadrina pachyderma dextral	Risebrobakken et al., 2003
JM97-9482A	7.64	66.97	1048	-0.05	-0.02	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Risebrobakken et al., 2003
JM97-9482A	7.64	66.97	1048	-0.05	-0.02	Benthic foraminifera	Cassidulina teretis	Risebrobakken et al., 2003
JPC-76	120.07	34.27	575	0.91	10.97	Planktonic foraminifera	Globigerina bulloides	Friddell et al., 2003
JPC-76	120.07	34.27	575	0.91	10.97	Planktonic foraminifera	Neogloboquadrina pachyderma	Friddell et al., 2003
K-11	2	72	2900	0	71	Benthic foraminifera	Benthic foraminifers	Imbrie et al., 1992
KC82-21	-7.65	36.89	586	3.8	19	Benthic foraminifera	Uvigerina peregrina	Vergnaud-grazzini and pierre, 1991
KC82-26	-7.81	36.79	583	3.5	15.2	Benthic foraminifera	Uvigerina peregrina	Vergnaud-grazzini and pierre, 1991
KC82-41	-4.4	35.99	1288	0	15.5	Planktonic foraminifera	Globigerina bulloides	Vergnaud-grazzini and pierre, 1991
KH-79-3_L3 (L3)	134.71	37.06	935	0.09	7.02	Benthic foraminifera	Cassidulina japonica	Ishiwatari et al., 2001
KH-79-3_L3 (L3)	134.71	37.06	935	0.09	7.02	Planktonic foraminifera	Neogloboquadrina pachyderma	Ishiwatari et al., 2001
KH94-3, LM-8	143.37	38.88	2353	0	24.4	Planktonic foraminifera	Globigerina bulloides	Oba and murayama, 2004
KH94-3, LM-8	143.37	38.88	2353	0	24.1	Benthic foraminifera	Uvigerina senticosa	Oba and murayama, 2004
KI5	139.4	39.57	807	4.55	14.97	Planktonic foraminifera	Globigerina umbilicata	Crusius et al., 1999
KI5	139.4	39.57	807	0.73	4.55	Planktonic foraminifera	Neogloboquadrina pachyderma-r.	Crusius et al., 1999
KI5	139.4	39.57	807	4.55	4.55	Planktonic foraminifera	Neogloboquadrina pachyderma-l	Crusius et al., 1999
KI5	139.4	39.57	807	4.55	4.55	Planktonic foraminifera	Neogloboquadrina dutertrei	Crusius et al., 1999
KL11	39.32	18.77	825	0	12.29	Planktonic foraminifera	Globigerinoides ruber	Siddall et al., 2003
KN158-4 MC52	-14.72	55.47	2172	0	10.79	Planktonic foraminifera	Neogloboquadrina pachyderma dextral	Bond et al., 2001
KN166-14-JPC-13	-33.5	53.1	3082	7.4	126.26	Planktonic foraminifera	Globigerina bulloides	Hodell et al., 2010
KN166-14-JPC-13	-33.5	53.1	3082	8.12	126.3	Benthic foraminifera	Cibicidoides wuellerstorfi	Hodell et al., 2010
KN166-14-JPC-13	-33.5	53.1	3082	7.4	126.26	Planktonic foraminifera	Neogloboquadrina pachyderma	Hodell et al., 2010
KNR140_2_59GGC	-76.32	32.98	1205	0.1	1.5	Planktonic foraminifera	Globigerinoides ruber white	Saenger et al., 2011
KNR140-51GGC	-76.28	32.78	1790	0.37	25.12	Planktonic foraminifera	Globigerinoides ruber	Carlson et al., 2008
KNR140-JPC37	-75.42	31.68	2972	68.17	145	Benthic foraminifera	Cibicidoides wuellerstorfi	Oppo et al., 2001
KNR140-JPC37	-75.42	31.68	2972	68.17	145	Planktonic foraminifera	Globigerinoides ruber	Oppo et al., 2001
KNR159-5-125GGC	-45.08	-29.53	3589	5.06	22.08	Benthic foraminifera	Cibicidoides spp.	Hoffmann et al., 2012
KNR159-5-17GGC	-46.48	-27.7	1627	0.85	22.3	Benthic foraminifera	Cibicidoides spp.	Tessin and lund, 2013
KNR159-5-22GGC	-43.58	-29.78	3924	6.61	22.94	Benthic foraminifera	Cibicidoides spp.	Hoffmann et al., 2012
KNR159-5-30GGC	-46.07	-28.13	2500	2.89	28.99	Benthic foraminifera	Cibicidoides spp.	Tessin and lund, 2013
KNR159-5-33GGC	-46.18	-27.57	2082	1.81	23.88	Benthic foraminifera	Cibicidoides spp.	Tessin and lund, 2013
KNR159-5-36GGC	-46.47	-27.51	1268	1.11	22.84	Planktonic foraminifera	Globorotalia inflata	Carlson et al., 2008
KNR159-5-42JPC	-46.03	-27.77	2296	0.33	21.23	Benthic foraminifera	Cibicidoides spp.	Hoffmann et al., 2012
KNR159-5-54GGC	-43.33	-29.53	4003	8.41	17.95	Benthic foraminifera	Cibicidoides spp.	Hoffmann et al., 2012
KNR159-5-78GGC	-46.33	-27.48	1820	0.8	20.15	Benthic foraminifera	Cibicidoides spp.	Tessin and lund, 2013
KNR166-2 105JPC	-79.23	24.56	304	0.09	4.54	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 106JPC	-79.23	24.56	354	0	8.24	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 119JPC	-79.27	24.59	529	0.21	9.39	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 127JPC	-79.27	24.76	631	0.73	27.49	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 127JPC	-79.27	24.76	631	11.58	22.46	Benthic foraminifera	Planulina ariminensis	Lynch steiglitz et al., 2011
KNR166-2 127JPC	-79.27	24.76	631	0.73	146.15	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 132JPC	-79.28	24.85	739	0.87	35.41	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 132JPC	-79.28	24.85	739	0.36	22.9	Benthic foraminifera	Planulina ariminensis	Lynch steiglitz et al., 2011
KNR166-2 132JPC	-79.28	24.85	739	0	35.41	Benthic foraminifera	Cibicidoides sp	Lynch steiglitz et al., 2011
KNR166-2 132JPC	-79.28	24.85	739	0.36	4.68	Benthic foraminifera	Cibicides sp.	Lynch-steiglitz et al., 2009
KNR166-2 135JPC	-79.22	24.83	446	0.22	7.33	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 1GGC	-83.34	24.38	446	0.82	5.67	Planktonic foraminifera	Globigerinoides sacculifer	Lynch-steiglitz et al., 2009
KNR166-2 1GGC	-83.34	24.38	446	0.82	10.74	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 1GGC	-83.34	24.38	446	8.05	9.45	Benthic foraminifera	Planulina ariminensis	Lynch-steiglitz et al., 2009
KNR166-2 26JPC	-83.25	24.33	546	0.63	35.66	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 26JPC	-83.25	24.33	546	0.63	10.42	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 27GGC	-83.26	24.31	598	1.33	10.27	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 29JPC	-83.3	24.22	648	15.37	18.66	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 29JPC	-83.3	24.22	648	15.9	22.9	Benthic foraminifera	Cibicidoides wuellerstorfi	Lynch steiglitz et al., 2011
KNR166-2 29JPC	-83.3	24.22	648	12.17	29.29	Benthic foraminifera	Planulina ariminensis	Lynch steiglitz et al., 2011
KNR166-2 29JPC	-83.3	24.22	648	1.7	11.2	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 2JPC	-83.34	24.38	446	2.19	10.02	Planktonic foraminifera	Globigerinoides sacculifer	Lynch-steiglitz et al., 2009
KNR166-2 2JPC	-83.34	24.38	446	2.19	10.02	Benthic foraminifera	Cibicides sp.	Lynch-steiglitz et al., 2009
KNR166-2 31JPC	-83.27	24.76	751	1.2	34.8	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 31JPC	-83.27	24.76	751	15.29	33.83	Benthic foraminifera	Planulina ariminensis	Lynch steiglitz et al., 2011
KNR166-2 31JPC	-83.27	24.76	751	1.39	24.84	Benthic foraminifera	Planulina wuellerstorfi	Lynch steiglitz et al., 2011
KNR166-2 31JPC	-83.27	24.76	751	12.42	20.82	Benthic foraminifera	Cibicidoides sp	Lynch steiglitz et al., 2011
KNR166-2 31JPC	-83.27	24.76	751	1.2	11.47	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 31JPC	-83.27	24.76	751	1.39	6.15	Benthic foraminifera	Planulina wuellerstorfi	Lynch-steiglitz et al., 2009
KNR166-2 48JPC	-83.23	24.4	247	1.8	9.4	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 51JPC	-83.22	24.41	198	1.49	10.42	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 59JPC	-83.37	24.42	358	1.94	9.86	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2 73GGC	-79.43	23.75	542	0	41.61	Benthic foraminifera	Cibicidoides pachyderma	Lynch steiglitz et al., 2011
KNR166-2 73GGC	-79.43	23.75	542	4.56	13.6	Benthic foraminifera	Planulina ariminensis	Lynch steiglitz et al., 2011
KNR166-2 8GGC	-83.25	24.33	546	0.57	10.9	Benthic foraminifera	Cibicidoides pachyderma	Lynch-steiglitz et al., 2009
KNR166-2-118MC-A	-79.27	24.59	531	0	0.89	Planktonic foraminifera	Globigerinoides ruber	Lund and curry, 2006
KNR166-2-125MC-D	-79.29	24.76	694	0	1.36	Planktonic foraminifera	Globigerinoides ruber	Lund and curry, 2006
KNR166-2-26JPC	-83.3	24.3	546	6.13	19.98	Planktonic foraminifera	Globigerinoides ruber	Schmidt et al., 2011
KNR166-2-31JPC	-83.3	24.22	751	1.2	20.2	Benthic foraminifera	Cibicidoides pachyderma	Came et al., 2007 b
KNR166-2-31JPC	-83.3	24.22	751	12.77	12.77	Benthic foraminifera	Cibicidoides spp.	Came et al., 2007 b
KNR166-2-31JPC	-83.3	24.22	751	1.42	23.04	Benthic foraminifera	Cibicidoides wuellerstorfi	Came et al., 2007 b
KNR166-2-62MC	-83.26	24.33	547	0.02	0.96	Planktonic foraminifera	Globigerinoides ruber	Lund and curry, 2006
KNR166-2-51JPC	-83.22	24.41	198	1.49	9.15	Planktonic foraminifera	Globigerinoides ruber	Schmidt et al., 2012
KNR31 GPC-5	-57.62	33.69	4583	1.36	20.96	Planktonic foraminifera	Globigerinoides ruber	Keigwin et al., 1991
KNR31 GPC-5	-57.62	33.69	4583	1.22	18.06	Benthic foraminifera	Cibicides	Keigwin et al., 1991
KNR31-GPC9	-74.43	28.25	4758	70.86	138.71	Benthic foraminifera	Cibicidoides sp.	Keigwin and jones, 1994
KNR31-GPC9	-74.43	28.25	4758	70.86	138.71	Benthic foraminifera	Nuttalides umbonifera	Keigwin and jones, 1994
KNR31-GPC9	-74.43	28.25	4758	70.86	138.71	Benthic foraminifera	Nuttallides umbonifera	Keigwin et al., 1994 b
KNR31-GPC9	-74.43	28.25	4758	70.86	138.71	Benthic foraminifera	Cibicidoides sp.	Keigwin et al., 1994 b
KS82-30	-3.9	36.45	795	1.5	13.1	Benthic foraminifera	Uvigerina peregrina	Vergnaud-grazzini and pierre, 1991
KS82-31	-3.26	36.15	854	0.7	20.8	Benthic foraminifera	Uvigerina peregrina	Vergnaud-grazzini and pierre, 1991
KT90-9, 21	144.32	42.45	1083	2.1	18.9	Planktonic foraminifera	Globigerina bulloides	Oba and murayama, 2004
KT90-9, 21	144.32	42.45	1083	0	18.9	Benthic foraminifera	Elphidium batialis	Oba and murayama, 2004
KT90-9, 21	144.32	42.45	1083	9	18.9	Benthic foraminifera	Uvigerina akitaensis	Oba and murayama, 2004
KT90-9, 5	143.53	41.12	2098	3.6	24.9	Planktonic foraminifera	Globigerina bulloides	Oba and murayama, 2004
KT90-9, 5	143.53	41.12	2098	0	24.9	Benthic foraminifera	Elphidium batialis	Oba and murayama, 2004
KT90-9, 5	143.53	41.12	2098	6.4	24.9	Benthic foraminifera	Uvigerina akitaensis	Oba and murayama, 2004
LAPAS-KF02	-45.2	-25.84	827	0.4	12.96	Planktonic foraminifera	Globigerinoides ruber	Pivel et al., 2013
LPAZ21P	-109.47	22.99	624	1.4	235.8	Benthic foraminifera	Unknown	Herbert et al., 2001
LV29-114-3	152.88	49.38	1762	1.2	20.32	Benthic foraminifera	Uvigerina auberiana	Riethdorf et al., 2012
LV29-114-3	152.88	49.38	1762	1.2	20.32	Benthic foraminifera	Uvigerina peregrina	Riethdorf et al., 2012
LV29-114-3	152.88	49.38	1762	1.12	20.32	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Riethdorf et al., 2012
GIK17045	-16.39	52.43	3663	0.71	35.45	Planktonic foraminifera	Neogloboquadrina pachyderma dextre	Sarnthein et al., 1994
GIK17045	-16.39	52.43	3663	0.71	35.45	Planktonic foraminifera	Globigerina bulloides	Sarnthein et al., 1994
GIK17045	-16.39	52.43	3663	0.71	35.45	Planktonic foraminifera	Globorotalia inflata	Sarnthein et al., 1994
GIK17045	-16.39	52.43	3663	0.71	35.45	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK17045	-16.39	52.43	3663	0.71	35.45	Planktonic foraminifera	Neogloboquadrina pachyderma left	Sarnthein et al., 1994
M200309	-13.99	55.65	2543	-0.05	0.37	Planktonic foraminifera	Globigerina bulloides	Richter et al., 2009
M25/4-KL13	17.82	37.55	2533	6.4	328	Planktonic foraminifera	Globigerina bulloides	Schmiedl et al., 1998
M25/4-KL13	17.82	37.55	2533	1.3	124	Planktonic foraminifera	Globigerinoides ruber pink	Schmiedl et al., 1998
M35003-4	-61.24	12.09	1299	0	29.41	Planktonic foraminifera	Globigerinoides ruber pink	Ruehlemann, nature 1998
M35003-4	-61.25	12.08	1299	0	28.78	Planktonic foraminifera	Globigerinoides ruber	Ruehlemann et al., 1999
M39008	-7.07	36.38	577	0	21.5	Planktonic foraminifera	Globigerina bulloides	Cacho et al., 2001
M44/3_KL83	34.14	32.61	1433	0.19	12.96	Planktonic foraminifera	Globigerinoides ruber	Sperling et al., 2003
MC-29D	-62.78	45.88	250	0	1.6	Planktonic foraminifera	Cibicidoides lobatulus	Keigwin et al., 2003
MC-29D	-62.78	45.88	250	0	1.6	Planktonic foraminifera	Neogloboquadrina pachyderma (s)	Keigwin et al., 2003
MD01-2378	121.79	-13.08	1783	23.9	63.9	Benthic foraminifera	Planulina wuellerstorfi	Darkop et al., 2008
MD01-2378	121.79	-13.08	1783	23.9	63.9	Benthic foraminifera	Globigerinoides ruber white	Darkop et al., 2008
MD01-2378	121.79	-13.08	1783	1.05	461.54	Benthic foraminifera	Planulina wuellerstorfi	Holbourn et al., 2005
MD01-2378	121.79	-13.08	1783	1.05	461.54	Planktonic foraminifera	Globigerinoides ruber	Holbourn et al., 2005
MD01-2378	121.79	-13.08	1783	0.73	21.53	Planktonic foraminifera	Globigerinoides ruber	Sarnthein et al., 2010
MD01-2378	121.79	-13.08	1783	1.05	21.79	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 2010
MD01-2378	121.79	-13.08	1783	112	140.6	Planktonic foraminifera	Pulleniatina obliquiloculata	Xu et al., 2006
MD01-2378	121.79	-13.08	1783	112	140.6	Planktonic foraminifera	Globigerinoides ruber white	Xu et al., 2006
MD01-2378	121.79	-13.08	1783	112	140.6	Benthic foraminifera	Benthic	Xu et al., 2006
MD01-2378	121.79	-13.08	1783	23.89	62.02	Planktonic foraminifera	Pulleniatina obliquiloculata	Zuraida et al., 2009
MD01-2390	113.41	6.64	1545	1.05	20.86	Planktonic foraminifera	Globigerinoides ruber	Steinke et al., 2005
MD01-2390	113.41	6.64	1545	1.05	23.94	Planktonic foraminifera	Globigerinoides ruber s.s.	Steinke et al., 2008
MD01-2390	113.41	6.64	1545	1.05	21.21	Planktonic foraminifera	Globigerinoides ruber s.l.	Steinke et al., 2008
MD01-2415	149.96	53.95	822	1.82	1090.04	Benthic foraminifera	Benthics	Nuernberg et al., 2004
MD01-2416	167.73	51.27	2317	4.17	11.92	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Sarnthein et al., 2004
MD01-2416	167.73	51.27	2317	5.63	11.92	Unknown	D18O adjusted for vital effect	Sarnthein et al., 2004
MD01-2416 PC	167.73	51.27	2317	4.17	11.6	Unknown	D18O adjusted for vital effect	Sarnthein et al., 2004
MD01-2416 PC	167.73	51.27	2317	4.17	11.6	Planktonic foraminifera	Neogloboquadrina pachyderma sinistral	Sarnthein et al., 2004
MD01-2421	141.78	36.02	2286	0.2	10.6	Planktonic foraminifera	Globigerina bulloides	Oba and murayama, 2004
MD01-2421	141.78	36.02	2286	0.2	10	Planktonic foraminifera	Globorotalia inflata	Oba and murayama, 2004
MD01-2421	141.78	36.02	2286	4.7	17.3	Benthic foraminifera	Uvigerina senticosa	Oba and murayama, 2004
MD01-2421	141.78	36.02	2286	0.3	17.5	Benthic foraminifera	Bulimina aculeata	Oba and murayama, 2004
MD01-2421	141.78	36.02	2286	0.24	144.1	Planktonic foraminifera	Globigerina bulloides	Oba et al., 2006
MD01-2421	141.78	36.02	2286	0.24	144.1	Planktonic foraminifera	Globorotalia inflata	Oba et al., 2006
MD01-2421	141.78	36.02	2286	0.29	144.1	Benthic foraminifera	Bulimina aculeata	Oba et al., 2006
MD01-2421	141.78	36.02	2286	5.24	142.62	Benthic foraminifera	Uvigerina spp.	Oba et al., 2006
MD01-2444	-10.13	37.57	2637	136.1	193.08	Planktonic foraminifera	Globigerina bulloides	Margari et al., 2010
MD01-2444	-10.13	37.57	2637	136.1	193.29	Planktonic foraminifera	Benthics	Margari et al., 2010
MD02-2488	88.02	-46.48	3420	108.03	137.3	Benthic foraminifera	Cibicides kullenbergi	Govin et al., 2012
MD02-2503	120.07	34.47	570	0.14	35.76	Planktonic foraminifera	Globigerina bulloides	Hill et al., 2006 c
MD02-2503	120.07	34.47	570	0.14	35.76	Benthic foraminifera	Bolivina argentea	Hill et al., 2006 c
MD02-2503	120.07	34.47	570	0.14	35.76	Benthic foraminifera	Uvigerina peregrina	Hill et al., 2006 c
MD02-2529	84.13	8.21	1619	0.1	89.3	Planktonic foraminifera	Globigerinoides ruber	Leduc et al., 2007
MD02-2529	84.13	8.21	1619	1.57	52.14	Planktonic foraminifera	Neogloboquadrina dutertrei	Leduc et al., 2009
MD02-2550	-91.34	26.95	2248	7.02	10.49	Planktonic foraminifera	Globigerinoides ruber	Lodico et al., 2006
MD02-2550	-91.34	26.95	2248	10.99	18.35	Planktonic foraminifera	Globigerinoides ruber	Williams et al., 2010
MD02-2551	-91.35	26.95	2246	27.95	44.46	Planktonic foraminifera	Globigerinoides ruber	Hill et al., 2006
MD02-2575	-87.12	29	847	1.05	399.67	Benthic foraminifera	Uvigerina peregrina	Nurnberg et al., 2008
MD02-2575	-87.12	29	847	7.13	399.67	Planktonic foraminifera	Globorotalia crassaformis	Nurnberg et al., 2008
MD02-2575	-87.12	29	847	1.05	399.67	Planktonic foraminifera	Globigerinoides ruber	Nurnberg et al., 2008
MD02-2588	25.83	-41.33	2907	0.29	353.18	Benthic foraminifera	"""benthic "" ???"	Ziegler et al., 2013
MD02-2589	25.25	-41.43	2660	11.67	170.37	Benthic foraminifera	Cibicides wuellerstorfi	Molyneux et al., 2007
MD03-2611	136.92	-37.22	2420	0.68	30.6	Unknown	Unknown	Calvo et al., 2007
MD03-2707	9.4	2.5	1295	0.36	155.63	Planktonic foraminifera	Globigerinoides ruber	Weldeab et al., 2007
MD04-2845	-5.22	45.35	4100	66.49	142.76	Benthic foraminifera	"""benthic "" ???"	Sanchez goni et al., 2013
MD04-2881	63.08	22.2	2387	8.25	762.75	Benthic foraminifera	Uvigerina peregrina	Ziegler et al. 2010
MD04-2881	63.08	22.2	2387	8.25	762.75	Planktonic foraminifera	Neogloboquadrina dutertrei	Ziegler et al. 2010
MD04-2881	63.08	22.2	2387	180.78	762.75	Planktonic foraminifera	Globigerinoides ruber	Ziegler et al. 2010
MD06-3018	166.15	-23	2470	0	1557.6	Benthic foraminifera	Cibicides wuellerstorfi	Russon et al., 2009
MD06-3018	166.15	-23	2470	0	1543.5	Planktonic foraminifera	Globigerinoides ruber	Russon et al., 2011
MD06-3067	126.5	6.51	1575	3.39	158.2	Planktonic foraminifera	Globigerinoides ruber	Bolliet et al., 2011
MD06-3067	126.5	6.51	1575	3.39	158.2	Planktonic foraminifera	Pulleniatina obliquiloculata	Bolliet et al., 2011
MD06-3067	126.5	6.51	1575	3.39	158.2	Benthic foraminifera	Benthics	Bolliet et al., 2011
