Core	Longitude	Latitude	Depth	RecentDate	OldestDate	Proxy	Species	Reference
BOFS31/1K	-20.16	19	3300	0	26.46	Planktonic foraminifera	Globigerina bulloides	Chapman et al., 1996
BOX CORE MSM5/5-712-1	6.77	78.92	1491	-0.06	2.07	Planktonic foraminifera	Cibicidoides wuellerstorfi	Werner et al., 2011
BOX CORE MSM5/5-712-1	6.77	78.92	1491	-0.06	2.07	Planktonic foraminifera	Neogloboquadrina pachyderma s	Werner et al., 2011
BP00-07/05	81.14	74.66	38	1	7.6	Ostracode	Paracyprideis pseudopunctillata	Simstich et al., 2004
BS7933	14.03	38.26	1282	0.68	29.49	Planktonic foraminifera	Globigerina bulloides	Cacho et al., 2001
BS7938	13.58	38.41	1489	0.87	24.09	Planktonic foraminifera	Globigerina bulloides	Cacho et al., 2001
C166A-8GGC	-83.57	24.65	435	0	2.85	Planktonic foraminifera	Globigerinoides ruber	Lund and curry 2004
C18	34.97	29.43	1	-0.04	0.16	Coral	Porites sp.	Heiss, 1994
C19	34.97	29.43	1	-0.04	0.06	Coral	Porites sp.	Heiss, 1994
CH07_98_MC22	-76.28	32.78	1895	0.1	1.7	Planktonic foraminifera	Globigerinoides ruber	Saenger et al., 2011
CH69-K09	-47.35	41.76	4100	110.39	134.91	Benthic foraminifera	Globigerina bulloides	Govin et al., 2012
CH69-K09	-47.35	41.76	4100	110.39	134.91	Benthic foraminifera	Cibicides sp.	Govin et al., 2012
CH82-24	-33	42	3427	0	220.8	Benthic foraminifera	Cibicides wuellerstorfi	Boyle and keigwin (1985,86)
CHN82-24	-33	-42	3427	0	220.8	Benthic foraminifera	Benthic foraminifers	Boyle and keigwin (1985)
CHN82-24	-33	-42	3427	0	220.8	Benthic foraminifera	Benthic foraminifers	Imbrie et al., 1992
CHO288-54	-77.65	17.42	1020	0.59	13.15	Benthic foraminifera	Cibicides wuellerstorfi	Gif
CHO288-54	-77.65	17.42	1020	0.59	11.65	Planktonic foraminifera	Globigerinoides ruber white	Gif
CHO288-54	-77.65	17.42	1020	0.59	11.65	Planktonic foraminifera	Globigerinoides ruber pink	Gif
COMPOSITE 63KA, 41KL, 42KG	65.98	24.62	316	-0.04	12.75	Planktonic foraminifera	Globigerinoides ruber	Staubwasser et al., 2003
CORAL	55	-4.63	7	-0.05	0.1	Coral	Porites lutea	Charles et al., 1997
CORAL	-162.13	5.87	9	-0.05	0.06	Coral	Porites lutea	Cobb et al., 2001
CORAL	166.88	-15.63	10	11.96	12.45	Coral	Diploastrea heliopora	Corrage et al., 2004
CORAL	113.77	-28.45	5	-0.04	0.16	Coral	Porites lutea	Kuhnert et al., 1999
CORAL	82.05	7.98	3	-0.03	0.24	Coral	Porites lobata	Linsley et al., 1994
CORAL	40	-3	6	-0.04	0.15	Coral	Unknown	Cole et al., 2000
CORAL	-89.17	-0.67	14	-0.03	0.01	Coral	Pavona clavus	Shen et al., 1992
DSDP 219	72.88	9.03	1764	34.2	3525.12	Benthic foraminifera	Globocassidulina pacifica RAW	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	34.2	3525.12	Benthic foraminifera	Globocassidulina pacifica ADJUSTED	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2820	2820	Benthic foraminifera	Cibicidoides kullenbergi RAW	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2820	2820	Benthic foraminifera	Cibicidoides kullenbergi ADJUSTED	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2360	3270	Benthic foraminifera	Cibicidoides wuellerstorfi RAW	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2360	3270	Benthic foraminifera	Cibicidoides wuellerstorfi ADJUSTED	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2120	5540	Benthic foraminifera	Oridorsalis umbonatus RAW	Gupta et al., 1999
DSDP 219	72.88	9.03	1764	2120	5540	Benthic foraminifera	Oridorsalis umbonatus ADJUSTED	Gupta et al., 1999
DSDP 502	-79.38	11.49	3051	0.6	1135	Benthic foraminifera	Cibicidoides wuellerstorf	De menocal et al., 1992
DSDP 552	-23.23	56.04	2301	7	861	Benthic foraminifera	Benthic stack	Karner et al., 2002
DSDP 607	-32.96	41	3427	0	861	Benthic foraminifera	Benthic stack	Karner et al., 2002
DSDP 607	-32.96	41	3427	0	3261.9	Benthic foraminifera	Uvigerina and Cibicidoides +0.64 per mil	Raymo et al., 1992
DSDP 607	-32.96	41	3427	0	3261.92	Benthic foraminifera	Cibicidoides	Raymo et al., 1992
DSDP 609	-24.23	49.88	3884	0	35.5	Planktonic foraminifera	Neogloboquadrina pachyderma	Bond, 1992
EILAT-1	34.92	29.5	4	-0.04	-0.04	Coral	Porites	Felis et al., 2004
EILAT-15B	34.92	29.5	15	-0.05	-0.04	Coral	Porites	Felis et al., 2004
EL-15A	34.93	29.52	15	-0.05	-0.04	Coral	Porites cf. nodifera	Al-rousan et al., 2003
EL-15B	34.93	29.52	15	-0.05	-0.04	Coral	Porites cf. nodifera	Al-rousan et al., 2003
EL-15C	34.93	29.52	15	-0.05	-0.04	Coral	Porites cf. nodifera	Al-rousan et al., 2003
EN120GGC1	-57.6	33.6	4450	1.7	18.9	Benthic foraminifera	Cibicides	Boyle et keigwin, 1987
EN120GGC1	-57.6	33.6	4450	9.58	18.97	Planktonic foraminifera	Globigerinoides ruber	Boyle et keigwin, 1987
ENAM96-06	-13.99	55.66	2548	0.39	2.32	Planktonic foraminifera	Globigerina bulloides	Richter et al., 2009
ERDC-077BX	156.06	4.85	3585	4.1	25.6	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-108BX	160.8	-1.75	3383	0.25	19.75	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-129BX	161.98	0.01	4441	0.42	36.81	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-131BX	162.7	-0.03	4441	0.39	27.89	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-135BX	160.99	0.88	3509	0.26	20.69	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-136BX	161.61	1.1	3848	1.45	22.87	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
ERDC-139BX	162.39	1.36	4118	0.42	29.19	Planktonic foraminifera	Pulleniatina obliquiloculata	Wu and berger, 1989
EW9209-1JPC	-44.2	5.91	4056	-0.09	502.45	Benthic foraminifera	Mean Benthics	Curry et al., 1996
EW9209-1JPC	-44.2	5.91	4056	2.99	150.16	Benthic foraminifera	Cibicides spp.	Curry et al., 1997
EW9209-1JPC	-44.2	5.91	4056	2.99	151.31	Planktonic foraminifera	Globigernoides sacculifer	Curry et al., 1997
EW9209-2JPC	-44.47	5.64	3528	7.74	417.56	Benthic foraminifera	Mean Benthics	Curry et al., 1996
EW9209-3JPC	-44.26	5.31	3288	3.2	435.11	Benthic foraminifera	Mean Benthics	Curry et al., 1996
EW9209-6JPC	-43.74	5.98	3033	0.29	376.34	Benthic foraminifera	Mean Benthics	Curry et al., 1996
EW9302-JPC2	-45.09	48.8	1251	109.9	134.05	Benthic foraminifera	Cibicides sp.	Govin et al., 2012
EW9302-JPC8	-25	61	1917	57.53	135.1	Benthic foraminifera	Cibicidoides wuellerstorfi	Oppo et al., 2001
EW9302-JPC8	-25	61	1917	57.53	135.1	Planktonic foraminifera	Neogloboquadrina pachyderma (right coiling)	Oppo et al., 2001
EW9504-02	-117.58	31.25	2042	1.9	194.31	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-02	-117.58	31.25	2042	1.9	194.31	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
EW9504-03	-117.37	32.07	1299	-1.39	170.16	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-03	-117.37	32.07	1299	-1.39	170.16	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
EW9504-04	-118.4	32.28	1759	1.52	198.38	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-04	-118.4	32.28	1759	1.52	198.38	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
EW9504-05	-118.13	32.48	1818	2.16	110.24	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-05	-118.13	32.48	1818	2.16	110.24	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
EW9504-08	-118.8	32.8	1442	0.43	130.98	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-08	-118.8	32.8	1442	0.43	130.98	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
EW9504-09	-119.97	32.87	1194	0.95	135.08	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
EW9504-09	-119.97	32.87	1194	0.95	135.08	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
GEOB10029-4	100	-1.01	964	0	40.12	Planktonic foraminifera	Globigerinoides ruber s.s.	Mohtadi et al., 2010
GEOB10038-4	103	-5.02	1819	0	131.4	Planktonic foraminifera	Neogloboquadrina dutertrei	Mohtadi et al., 2010 b
GEOB10038-4	103	-5.02	1819	0	131.4	Planktonic foraminifera	Globigerinoides ruber	Mohtadi et al., 2010 b
GEOB10038-4	103	-5.02	1819	0	131.4	Benthic foraminifera	Cibicidoides wuellerstorfi	Mohtadi et al., 2010 b
GEOB10038-4	103	-5.02	1891	0	39.59	Planktonic foraminifera	Globigerinoides ruber s.s.	Mohtadi et al., 2010
GEOB10053-7	112.01	-8.01	1375	0.24	21.98	Planktonic foraminifera	Globigerinoides ruber	Mohtadi et al., 2011
GEOB10053-7	112.01	-8.01	1375	0.24	21.98	Planktonic foraminifera	Globigerina bulloides	Mohtadi et al., 2011
GEOB1008-3	10.32	-6.58	3124	0.4	190.5	Planktonic foraminifera	Globigerina bulloides	Schneider et al., 1995
GEOB1008-3	10.32	-6.58	3124	0.4	190.5	Planktonic foraminifera	Globigerinoides ruber pink	Schneider et al., 1995
GEOB1016-3	11.68	-11.77	3409	0.9	200.6	Planktonic foraminifera	Globigerina bulloides	Schneider et al., 1995
