Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI
164	64.70722	10.76278	395	-0.04	1.95103	Ocean	Planktonic foraminifera	10.1029/2003PA000982
165	64.70722	10.76278	395	-0.04	1.95103	Ocean	Planktonic foraminifera	10.1029/2003PA000982
166	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
167	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
168	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
169	-71.961	42.081	212.1	7.235986	11.0371054	Lake	Non-Carbonate	10.1029/2005GC001076
170	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
171	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
172	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
173	-71.961	42.081	212.1	0	16.636994	Lake	Non-Carbonate	10.1029/2005GC001076
174	-19.8366	24.4503	3680	0.57	26.67	Ocean	Benthic foraminifera	10.1029/94PA03353
175	-22.762	24.615	4900	1.52	34.4	Ocean	Benthic foraminifera	10.1029/94PA03353
176	-21.1168	20.5169	4000	1.09	33.89	Ocean	Benthic foraminifera	10.1029/94PA03353
177	-20.7243	19.7468	3580	0.99	34.89	Ocean	Benthic foraminifera	10.1029/94PA03353
178	-20.1621	18.9979	3300	0.63	27.32	Ocean	Benthic foraminifera	10.1029/94PA03353
179	-16.78333	54.26667	2370	0	10.7883	Ocean	Planktonic foraminifera	10.1126/science.1065680
180	-24.14	49.53	3900	0	35.5	Ocean	Planktonic foraminifera	10.1038/360245a0
181	114.925	4.2333	160	210.87	565.28	Speleothem	Speleothem	10.1126/science.1218340
182	114.8333	4.1	70	228.2219058	325.3546197	Speleothem	Speleothem	10.1126/science.1218340
183	114.8667	4.15	200	315.0224894	475.9649693	Speleothem	Speleothem	10.1126/science.1218340
184	114.8667	4.15	200	315.0224894	475.9649693	Speleothem	Speleothem	10.1126/science.1218340
185	114.9649	4.2587	250	15.2	45.593	Speleothem	Speleothem	10.1126/science.1233797
186	114.9649	4.2587	250	15.2	45.593	Speleothem	Speleothem	10.1126/science.1233797
187	114.85	4.08	250	0	93.724	Speleothem	Speleothem	10.1126/science.1233797
188	114.85	4.08	250	0	93.724	Speleothem	Speleothem	10.1126/science.1233797
189	114.85	4.08	250	31.831	99.776	Speleothem	Speleothem	10.1126/science.1233797
190	114.85	4.08	250	31.831	99.776	Speleothem	Speleothem	10.1126/science.1233797
191	114.94	4.2	250	0	73.445	Speleothem	Speleothem	10.1126/science.1233797
192	114.94	4.2	250	0	73.445	Speleothem	Speleothem	10.1126/science.1233797
193	-1.4167	6.533	99	-0.05305	2.657	Lake	Non-Carbonate	10.1126/science.1166352
194	-1.4167	6.533	99	-0.053	2.668	Lake	Non-Carbonate	10.1016/j.palaeo.2013.01.008
195	-49.2	-27.2	230	0	116.16	Speleothem	Speleothem	10.1038/nature03365
196	-49.2	-27.2	230	0.42	89.21	Speleothem	Speleothem	10.1029/2007GL031149
197	10	-4	1000	0.5	27.7	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
198	10	-4	1000	0.5	27.7	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
199	-60.85	11.1666	8	-0.039957	-0.02904	Ocean	Coral	
200	-60.85	11.1666	8	-0.04	0.023	Ocean	Coral	
201	-60.85	11.1666	8	-0.04	0.018	Ocean	Coral	
202	-80.4	38	600	0.037	6.945	Speleothem	Speleothem	10.1029/2008GL034971
203	-80.4	38	600	0.037	6.945	Speleothem	Speleothem	10.1016/j.epsl.2010.04.002
204	-80.4	38	600	0.078	7.184	Speleothem	Speleothem	10.1016/j.epsl.2010.04.002
205	-80.4	38	600	-0.024	7.848	Speleothem	Speleothem	10.1016/j.epsl.2010.04.002
206	-80.4	38	600	0.037	7.847	Speleothem	Speleothem	10.1016/j.epsl.2010.04.002
207	-119.5	-80	1530	0.548	29.58398909	Ice	Ice	10.1126/science.291.5501.109
208	116.275	19.45	2091	50.49649355	149.3783508	Ocean	Benthic foraminifera	10.1029/2011PA002269
209	116.275	19.45	2091	50.49649355	149.3783508	Ocean	Planktonic foraminifera	10.1029/2011PA002269
210	-2.621167	36.14333	1841	1.0076	51.380526	Ocean	Planktonic foraminifera	10.1029/1999PA900044
211	14.03	38.26167	1282	0.68	29.49	Ocean	Planktonic foraminifera	10.1029/2000PA000502
212	13.577	38.412	1489	0.87	24.09	Ocean	Planktonic foraminifera	10.1029/2000PA000502
213	-7.0716	36.38	577	0	21.5	Ocean	Planktonic foraminifera	10.1029/2000PA000502
214	-2.621167	36.14333	1841	1.01	51.38	Ocean	Planktonic foraminifera	10.1029/2000PA000502
215	168.67	54.55	1466	0.958	21.36	Ocean	Planktonic foraminifera	10.1029/2008PA001671
216	168.67	54.55	1466	0.958	21.36	Ocean	Benthic foraminifera	10.1029/2008PA001671
217	136.91667	-37.21667	2420	0.68	30.6	Ocean	Planktonic foraminifera	10.1029/2007GL029937
218	-5.1666	33.4	1800	-0.05	0.106	Tree	Cellulose	
219	-5.07	32.97	2200	-0.05	0.35	Tree	Cellulose	
220	-24.082417	61.425317	1648	0.446	11.0995	Ocean	Planktonic foraminifera	10.1130/G23455A.1
221	-78.0333	26.06667	1057	0.613	27.1	Ocean	Benthic foraminifera	10.1029/173GM16
222	-83.3	24.21667	751	1.204	20.197	Ocean	Benthic foraminifera	10.1029/173GM16
223	-83.3	24.21667	751	12.774	12.774	Ocean	Benthic foraminifera	10.1029/173GM16
224	-83.3	24.21667	751	1.415	23.041	Ocean	Benthic foraminifera	10.1029/173GM16
225	-97.493	59.404	294	-0.06051	8.71307	Lake	Others	10.1007/s10933-012-9619-0
226	-61.13	77.17	1885	-0.01	11.65	Ice	Ice	10.1038/nature08355
227	113.9	-22.1	100	5.736	10.562	Speleothem	Speleothem	10.1016/j.quascirev.2013.07.002
228	113.9	-22.1	100	15.215	25.7	Speleothem	Speleothem	10.1016/j.quascirev.2013.07.002
229	-55.61667	44.66	1381	0	14.51500003	Ocean	Planktonic foraminifera	10.1073/pnas.0611313104
230	-57.5833	33.7	4550	0.57	19.91	Ocean	Planktonic foraminifera	10.1130/G25080A.1
231	-46.47	-27.51	1268	1.11	22.84	Ocean	Planktonic foraminifera	10.1130/G25080A.1
232	-76.28333	32.78333	1790	0.372311005	25.124	Ocean	Planktonic foraminifera	10.1130/G25080A.1
233	-77.18	-6.07	900	-0.05567	0.047344	Speleothem	Speleothem	10.1029/2009GL041051
234	-77.18	-6.07	900	0.042538	0.861409	Speleothem	Speleothem	10.1029/2009GL041051
235	-18.97444	66.89111	480	0.385745337	7.853957265	Ocean	Planktonic foraminifera	10.1002/jqs.841
236	-21.15222	66.52389	282	0.025972222	10.3266	Ocean	Benthic foraminifera	10.1002/jqs.841
237	-21.15222	66.52389	282	0.073	12.05555172	Ocean	Planktonic foraminifera	10.1002/jqs.841
238	-21.15222	66.52389	282	0.684361111	10.2812	Ocean	Planktonic foraminifera	10.1002/jqs.841
239	-18.865	66.58778	494	0.011604803	13.74545192	Ocean	Planktonic foraminifera	10.1002/jqs.841
240	-20.86306	66.64139	373	0.3944	4.286820189	Ocean	Planktonic foraminifera	10.1002/jqs.841
241	-21.54833	65.95694	96	0.025919063	4.597351563	Ocean	Benthic foraminifera	10.1002/jqs.841
242	-21.2986	65.96667	111	0	10.49039545	Ocean	Benthic foraminifera	10.1002/jqs.841
243	-21.08806	65.8669	170	0	10.97258537	Ocean	Benthic foraminifera	10.1002/jqs.841
244	-21.64028	66.06833	46	0.287	4.138964286	Ocean	Benthic foraminifera	10.1002/jqs.841
245	-21.5847	66.1366	108	0	10.93	Ocean	Benthic foraminifera	10.1002/jqs.841
246	-119.56	48.53	594	-0.05	0.15	Lake	Carbonate	10.1073/pnas.1201083109
247	10.28	44.02	840	0.391173613	13.26646087	Speleothem	Speleothem	10.1016/j.quascirev.2006.12.003
248	10.28	44.02	840	88.4	170.6024404	Speleothem	Speleothem	10.1029/2005GL024658
249	-1.83333	48.33	75	-0.048	0.071	Tree	Cellulose	10.1111/j.1600-0889.2004.00086.x
250	-1.83333	48.33	75	-0.048	0.071	Tree	Cellulose	10.1111/j.1600-0889.2004.00086.x
251	-1.83333	48.33	75	-0.048	0.071	Tree	Cellulose	10.1111/j.1600-0889.2004.00086.x
252	-1.83333	48.33	75	-0.048	0.071	Tree	Cellulose	10.1111/j.1600-0889.2004.00086.x
253	-1.83333	48.33	75	-0.048	0.071	Tree	Cellulose	10.1111/j.1600-0889.2004.00086.x
254	-47.35	41.7566666	4100	110.39	134.91	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012
255	-47.35	41.7566666	4100	110.39	134.91	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012
256	-22	40	3485	0	23.7	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
257	-22	40	3485	0	23.7	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
258	-29.25	35.2667	3225	5	34.8	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
259	-29.25	35.2667	3225	5	34.8	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
260	-57	10	3410	0.4	30.5	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
261	-57	10	3410	0.4	30.5	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
262	-56	10	3820	0	21.6	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
263	-56	10	3820	0	21.6	Ocean	Benthic foraminifera	10.1029/PA003i003p00317
264	37.7	-3.31667	880	-0.03	24.922	Lake	Non-Carbonate	10.1016/j.quascirev.2011.01.017
265	37.7	-3.31667	880	-0.03	24.922	Lake	Non-Carbonate	10.1016/j.quascirev.2011.01.017
266	-20.1621	18.9979	3300	0	26.46	Ocean	Planktonic foraminifera	10.1029/96PA00041
267	55	-4.62694	7	-0.04513	0.10346	Ocean	Coral	10.1126/science.277.5328.925
268	9.717	-41.6	4718	6.1125	71.1	Ocean	Planktonic foraminifera	10.1016/0012-821X(96)00083-0
269	9.717	-41.6	4718	5.2788	74.2	Ocean	Benthic foraminifera	10.1016/0012-821X(96)00083-0
270	9.717	-41.6	4718	8.9478	69.3	Ocean	Planktonic foraminifera	10.1016/0012-821X(96)00083-0
271	108.08	25.28	680	7.992	8.485	Speleothem	Speleothem	10.1130/G30126A.1
272	108.08	25.28	680	7.99	8.344	Speleothem	Speleothem	10.1130/G30126A.1
273	57.35	23.08	800	7.678	8.566	Speleothem	Speleothem	10.1130/G30126A.1
274	54.3	17.17	650	8.03	8.453	Speleothem	Speleothem	10.1130/G30126A.1
275	-88.75	19.83	15	7.65512	8.18942	Lake	Benthic foraminifera	10.1038/375391a0
276	-88.75	19.83	15	-0.026369	10.917868	Lake	Carbonate	10.1038/375391a0
277	-88.75	19.83	15	8.617436	10.540748	Lake	Carbonate	10.1038/375391a0
